"ما هو تعريف ""النسق"" (Theme) في برنامج العروض التقديمية؟",هو مزيج محدد مسبقًا من الألوان والخطوط والتأثيرات.
ما الفائدة الرئيسية من إضافة نفس النسق (Theme) لجميع شرائح المشروع؟,إظهار التشابه والترابط بين جميع الشرائح ليعرف الجمهور أنها تنتمي للمشروع نفسه.
ما هي العناصر التي يتحكم فيها النسق (Theme) لتوفير وقت التصميم؟,يتحكم في لوحة الألوان الأساسية، وخطوط النص، وتخطيطات الشرائح.
"أي تبويب في شريط الأدوات نختار منه خيار ""النسق"" (Themes)؟","تبويب ""تصميم"" (Design)."
"ما هي وظيفة خيار ""التباينات"" (Variants) المرتبط بالنسق؟",تغيير ألوان النسق مع الحفاظ على المظهر العام له.
لماذا يفضل إنشاء نسخة مكررة من العرض التقديمي الأصلي قبل إجراء التغييرات؟,لكي يظل العرض التقديمي الأول دون تغيير كمرجع عند الحاجة.
ما هي الوظيفة التي تسمح بتحديد اسم جديد وموقع لحفظ ملف العرض التقديمي؟,"وظيفة ""حفظ باسم"" (Save As)."
"أين نجد خيار ""حفظ باسم"" (Save As) داخل برنامج العروض التقديمية؟","في قائمة ""ملف"" (File)."
"ما المقصود بـ ""الانتقال"" (Transition) في سياق العروض التقديمية؟",هو تأثير حركي يظهر عند التحرك من شريحة إلى الشريحة التالية.
في أي وضع معاينة تظهر تأثيرات الانتقال بوضوح للمشاهد؟,"في عرض ""عرض الشرائح"" (Slide Show)."
ما هي فئات الانتقالات الثلاث المتوفرة في البرنامج؟,بسيطة (Subtle)، ومثيرة (Exciting)، ومحتوى ديناميكي (Dynamic Content).
"ما الذي يميز فئة الانتقالات ""بسيطة"" (Subtle)؟",تستخدم رسومًا متحركة بسيطة وهادئة للتنقل بين الشرائح.
"بماذا تتصف فئة الانتقالات ""مثيرة"" (Exciting)؟",تستخدم رسومًا متحركة معقدة وملفتة للانتباه للانتقال بين الشرائح.
"على ماذا يطبق نوع انتقال ""المحتوى الديناميكي"" (Dynamic Content)؟",يطبق على العناصر النائبة (Placeholders) داخل الشريحة فقط وليس الشريحة بأكملها.
ما هي الخطوة الأولى لتطبيق انتقال على شريحة معينة؟,تحديد الشريحة المطلوبة من جزء تنقل الشرائح (Slide Navigation pane).
"ما الغرض من استخدام ""خيارات التأثير"" (Effect Options) مع الانتقالات؟",تحديد اتجاه حركة الشريحة، مثل التحرك من اليمين أو اليسار أو الأعلى.
ما هو مفتاح الاختصار المستخدم لتشغيل عرض الشرائح؟,مفتاح $F5$.
لماذا يجب استخدام الانتقالات باعتدال في العرض التقديمي؟,لأن كثرة الانتقالات قد تشتت انتباه الجمهور عن محتوى العرض.
"ما هو تعريف ""الرسوم المتحركة"" (Animations) في الشرائح؟",هي تأثيرات حركية تضاف إلى المحتوى الموجود داخل الشريحة (مثل النصوص أو الصور).
اذكر الأنواع الأربعة للرسوم المتحركة المتوفرة في البرنامج.,الدخول (Entrance)، والتوكيد (Emphasis)، والخروج (Exit)، ومسارات الحركة (Motion Paths).
"ما هي وظيفة رسوم ""الدخول"" (Entrance) المتحركة؟",تتحكم في الطريقة التي يظهر بها الكائن أو يدخل بها إلى الشريحة.
"متى يتم تفعيل رسوم ""التوكيد"" (Emphasis) المتحركة عادةً؟",تحدث عندما يكون الكائن موجودًا بالفعل على الشريحة، وغالبًا ما تُفعل بالنقر.
"ما هو دور رسوم ""الخروج"" (Exit) المتحركة؟",تتحكم في كيفية اختفاء الكائن أو مغادرته للشريحة.
"كيف تعمل رسوم ""مسارات الحركة"" (Motion Paths)؟",تجعل الكائن يتحرك داخل الشريحة وفقًا لمسار محدد مسبقًا.
أين نجد خيار إضافة رسوم متحركة للمحتوى؟,"في تبويب ""حركات"" (Animations)."
ما هو التوقيت الافتراضي لبدء أي حركة (Animation) في البرنامج؟,"توقيت ""عند النقر"" (On Click)."
"ماذا يعني اختيار توقيت ""بعد السابق"" (After Previous) للحركة؟",أن الكائن الحالي سيبدأ حركته فور انتهاء الكائن الذي يسبقه من حركته.
ماذا يمثل الرقم الذي يظهر بجانب الكائن بعد إضافة حركة له؟,يمثل ترتيب ظهور هذه الحركة بين الحركات الأخرى في الشريحة.
"في حركة ""تضاؤل"" (Fade)، كيف يظهر الكائن على الشريحة؟",يظهر الكائن تدريجيًا وببطء حتى يكتمل وضوحه.
ما هي الطريقة الصحيحة لاستخدام الرسوم المتحركة بفعالية؟,استخدامها في أماكن محدودة لجذب الانتباه وليس لتشتيت الجمهور.
تبويب _____ هو الذي يحتوي على خيارات الانتقال بين الشرائح.,انتقالات (Transitions).
النسق (Theme) هو مزيج من الألوان والخطوط و _____.,التأثيرات (Effects).
يُستخدم خيار _____ لتغيير لون النسق المختار.,التباينات (Variants).
حركة _____ تجعل الكائن يظهر ببطء على الشريحة.,التضاؤل (Fade).
تُستخدم الرسوم المتحركة من نوع _____ عندما يكون الكائن موجودًا مسبقًا في الشريحة.,التوكيد (Emphasis).
"تأثير ""دفع"" (Push) و ""مسح"" (Wipe) هما أمثلة على فئة _____.",الانتقالات (Transitions).
لبدء عرض تقديمي ومعاينة الحركات، نضغط على مفتاح _____.,$F5$.
تتحكم رسوم _____ في كيفية مغادرة الكائن للشريحة.,الخروج (Exit).
نوع الانتقال الذي يطبق فقط على العناصر النائبة يسمى _____.,المحتوى الديناميكي (Dynamic Content).
يظهر الرقم بجانب الكائن المتحرك لتوضيح _____ ظهور الحركة.,ترتيب.
"تعتبر حركة ""تحرك للداخل"" (Fly In) من حركات فئة _____.",الدخول (Entrance).
خيار _____ في قائمة ملف يسمح بفتح العروض التقديمية المخزنة سابقًا.,فتح (Open).
عند استخدام الرسوم المتحركة، يجب مراعاة عدم استخدام _____ منها لتجنب التشتيت.,الكثير.
تساعد الانتقالات في جعل العرض التقديمي أكثر _____ وجاذبية.,تأثيرًا.
لتطبيق الرسوم المتحركة، يجب أولاً _____ الكائن المطلوب تحريكه.,تحديد.
"يمكن العثور على ""خيارات التأثير"" (Effect Options) ضمن تبويبي الانتقالات و _____.",الحركات (Animations).
يتم الوصول إلى أنواع إضافية من الرسوم المتحركة بالنقر على سهم _____ في معرض الحركات.,المزيد (More).
تستخدم انتقالات فئة _____ رسومًا حركية بسيطة للتنقل.,بسيطة (Subtle).
"يعد توقيت ""بعد السابق"" مفيدًا لتنظيم حركات الكائنات بشكل _____ دون تدخل المستخدم.",تلقائي.
تساعد الرسوم المتحركة في _____ انتباه الجمهور للنقاط المهمة.,جذب.
